Title;PMID;Include;Reason for exclusion;Publishing year;ICD-10 chapter;COVID-19 research;First author;Senior author;Data source;Data origin
Dementia in People from Ethnic Minority Backgrounds: Disability, Functioning, and Pharmacotherapy at the Time of Diagnosis.;32758391;Yes;n/a;2021;5;No;UK;UK;South London and Maudsley NHS Foundation Trust;UK
Electronic Health Record Reminders for Chlamydia Screening in an American Indian Population.;33301693;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2021;;;;;;
Phenome-wide association study identifies marked increased in burden of comorbidities in African Americans with systemic lupus erythematosus.;29636090;Yes;n/a;2018;13;No;US;US;Vanderbilt University Medical Center;US
Acute kidney injury: a clinical issue in hospitalized patients with heart failure with mid-range ejection fraction.;30411719;Yes;n/a;2018;14;No;RO;RO;Arad Emergency Clinical County Hospital;RO
Developing and implementing national health identifiers in resource limited countries: why, what, who, when and how?;29502484;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2018;;;;;;
Ethnic differences in the prevalence of frailty in the United Kingdom assessed using the electronic Frailty Index.;31942531;Yes;n/a;2019;18;No;UK;UK;AT Medics;UK
Toward microelimination of hepatitis C and HIV coinfection in NHS Tayside, Scotland: Real-world outcomes.;33033752;Yes;n/a;2020;1;No;UK;UK;NHS Tayside ;UK
Comparative effectiveness of second-line ipilimumab vs. nivolumab in combination with ipilimumab in patients with advanced melanoma who received frontline anti-PD-1 antibodies.;32423325;Yes;n/a;2021;2;No;US;US;Flatiron Health;US
Systematically Prioritizing Candidates in Genome-Based Drug Repurposing.;31769998;Yes;n/a;2019;;No;US;US;Vanderbilt University Medical Center;US
Validation of body mass index (BMI)-related ICD-9-CM and ICD-10-CM administrative diagnosis codes recorded in US claims data.;30003617;Yes;n/a;2018;;No;US;US;Optum;US
Assessment of obesity prevalence and validity of obesity diagnoses coded in claims data for selected surgical populations: A retrospective, observational study.;31335698;Yes;n/a;2019;4;No;US;US;Optum;US
Body mass index and insulin use as identifiers of high-cost patients with type 2 diabetes: A retrospective analysis of electronic health records linked to insurance claims data.;30768824;Yes;n/a;2019;4;No;US;US;Optum;US
Unbiased Phenome-Wide Association Studies of Red Cell Distribution Width Identifies Key Associations with Pulmonary Hypertension.;30608875;Yes;n/a;2019;9;No;US;US;Vanderbilt University Medical Center;US
Establishment and 12-month progress of the New Zealand Motor Neurone Disease Registry.;30473407;No (excluded in title and abstract screening);No medical research (no new insights with direct relevance to health);2019;;;;;;
Data resource profile: the National Health Insurance Research Database (NHIRD).;30727703;No (excluded in title and abstract screening);No medical research (focus on data provision);2018;;;;;;
Innovative Study Designs Optimizing Clinical Pharmacology Research in Infants and Children.;30248192;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2018;;;;;;
The Connected Intensive Care Unit Patient: Exploratory Analyses and Cohort Discovery From a Critical Care Telemedicine Database.;30679148;No (excluded in title and abstract screening);No medical research (focus on data provision);2019;;;;;;
Environmental temperature and case fatality of patients with Ebola virus disease in Sierra Leone and Liberia, 2014-2015: a retrospective cohort study.;30307686;Yes;n/a;2019;1;No;US;US;Multiple;SL, LR
Studying the Clinical Data of COVID Positive Patients Admitted to a Tertiary Care Academic Hospital.;33013092;Yes;n/a;2020;22;Yes;US;IN;Sarasota Memorial Hospital;US
Pan-European Data Harmonization for Biobanks in ADOPT BBMRI-ERIC.;31509880;No (excluded in title and abstract screening);No tabular data;2019;;;;;;
Is it time to use real-world data from primary care in Alzheimer's disease?;32423489;Yes;n/a;2020;5;No;ES;ES;SIDIAP;ES
History of cervical insufficiency increases the risk of pelvic organ prolapse and stress urinary incontinence in parous women.;29169582;Yes;n/a;2018;14;No;US;US;IBM;US
Primary care EMR and administrative data linkage in Alberta, Canada: describing the suitability for hypertension surveillance.;32830109;No (excluded in title and abstract screening);No medical research (focus on anonymization);2020;;;;;;
CE: Original Research: An Investigation into the Safety of Oral Intake During Labor.;29424752;Yes;n/a;2018;15;No;US;US;Not precisely specified;US
Community-based outreach associated with increased health utilization among Navajo individuals living with diabetes: a matched cohort study.;32450874;Yes;n/a;2020;4;No;US;US;Multiple;US
Pediatric solid organ injury - frequency of abdominal imaging is determined by the treating department.;33157961;Yes;n/a;2020;19;No;DE;DE;Multiple;DE
Pregnancy Outcomes after Endometrial Ablation in a Multi-institutional Cohort.;29528466;Yes;n/a;2018;15;No;US;US;IBM;US
Comorbidities in pediatric alopecia areata.;32531131;Yes;n/a;2020;12;No;US;US;IBM;US
Data-driven method to enhance craniofacial and oral phenotype vocabularies.;31668172;No (excluded in title and abstract screening);No tabular data;2019;;;;;;
Using blockchain to log genome dataset access: efficient storage and query.;32693796;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2020;;;;;;
Assessing the impact of specialist home visiting upon maltreatment in England: a feasibility study of data linkage from a public health trial to routine health and social care data.;29988307;No (excluded in title and abstract screening);No medical research (focus on anonymization);2018;;;;;;
Cardiovascular medication changes over 5 years in a national data linkage study: implications for risk prediction models.;29391835;Yes;n/a;2018;9;No;NZ;NZ;New Zeeland Ministry of Health;NZ
MAV-clic: management, analysis, and visualization of clinical data.;31984341;No (excluded in title and abstract screening);No medical research (focus on data provision);2019;;;;;;
Pharmacogenetics to Predict Adverse Events Associated With Antidepressants.;33234666;Yes;n/a;2020;5;No;US;US;Vanderbilt University Medical Center;US
Recruitment of patients with Chronic Obstructive Pulmonary Disease (COPD) from the Clinical Practice Research Datalink (CPRD) for research.;29921879;Yes;n/a;2018;10;No;UK;UK;Clinical Practice Research Datalink;UK
Willingness to Participate in a National Precision Medicine Cohort: Attitudes of Chronic Kidney Disease Patients at a Cleveland Public Hospital.;29949895;No (excluded in title and abstract screening);No medical research (focus on data provision);2018;;;;;;
The assessment of data quality issues for process mining in healthcare using Medical Information Mart for Intensive Care III, a freely available e-health record database.;30488750;No (excluded in title and abstract screening);No medical research (focus on data provision);2019;;;;;;
A Social Determinant of Health May Modify Genetic Associations for Blood Pressure: Evidence From a SNP by Education Interaction in an African American Population.;31134134;Yes;n/a;2019;9;No;US;US;Vanderbilt University Medical Center;US
Risk prediction using natural language processing of electronic mental health records in an inpatient forensic psychiatry setting.;30118855;Yes;n/a;2018;5;No;AU;AU;Wilfred Lopes Centre;AU
Large retrospective analysis on frailty assessment in primary care: electronic Frailty Index versus frailty coding.;31039123;Yes;n/a;2019;18;No;UK;;NHS Leeds;UK
Cancer Patient Perspectives on Sharing of Medical Records and Mobile Device Data for Research Purposes.;33457553;No (excluded in title and abstract screening);Anonymous survey;2020;;;;;;
Relationship between very low low-density lipoprotein cholesterol concentrations not due to statin therapy and risk of type 2 diabetes: A US-based cross-sectional observational study using electronic health records.;30153257;Yes;n/a;2018;4;No;US;US;Vanderbilt University Medical Center;US
MODELHealth: Facilitating Machine Learning on Big Health Data Networks.;31946332;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2019;;;;;;
Identifying Individuals With Intellectual Disability Within a Population Study.;32969948;Yes;n/a;2020;5;No;US;US;Eunice Kennedy Shriver National Institute of Child Health and Human Development ;US
Development of risk models for major adverse chronic renal outcomes among patients with type 2 diabetes mellitus using insurance claims: a retrospective observational study.;31625766;Yes;n/a;2020;4;No;US;US;Optum;US
Development and Evaluation of the Boston University Osteoarthritis Functional Pain Short Form (BU-OA-FPS).;29684166;Yes;n/a;2018;13;No;US;US;Boston University;US
COVID-19 in ocrelizumab-treated people with multiple sclerosis.;33482590;Yes;n/a;2021;6;Yes;CH;CH;Optum;US
Adverse events among chronic myelogenous leukemia patients treated with tyrosine kinase inhibitors: a real-world analysis of health plan enrollees.;33283555;Yes;n/a;2021;2;No;US;US;Optum;US
Using Ethereum blockchain to store and query pharmacogenomics data via smart contracts.;32487214;No (excluded in title and abstract screening);No medical research (no new insights with direct relevance to health);2020;;;;;;
Real-world effectiveness, its predictors and onset of action of cholinesterase inhibitors and memantine in dementia: retrospective health record study.;32713359;Yes;n/a;2021;5;No;UK;UK;Oxford Health NHS Foundation Trust,  Southern Health NHS Foundation Trust;UK
HIV Status and Contraceptive Utilization among Women in Cameroon.;30776955;Yes;n/a;2019;1;No;US;US;Cameroon Baptist Convention Health Services;CM
Kidney cancer biobanking: considerations for a single institutional biorepository.;31236340;No (excluded in title and abstract screening);No medical research (focus on data provision);2019;;;;;;
Association of Social Behaviors With Community Discharge in Patients with Total Hip and Knee Replacement.;33041232;Yes;n/a;2021;;No;US;US;Optum;US
Disease burden of liver cancer in China from 1997 to 2016: an observational study based on the Global Burden of Diseases.;31015269;Yes;n/a;2019;2;No;CN;CN;Institute for Health Metrics and Evaluation;CN
Dynamic ElecTronic hEalth reCord deTection (DETECT) of individuals at risk of a first episode of psychosis: a case-control development and validation study.;33328055;Yes;n/a;2020;5;No;DK;UK;IBM;US
A step closer to nationwide electronic health record-based chronic disease surveillance: characterizing asthma prevalence and emergency department utilization from 100 million patient records through a novel multisite collaboration.;31592525;Yes;n/a;2020;10;No;US;US;Multiple;US
Pharmacological risk factors associated with hospital readmission rates in a psychiatric cohort identified using prescriptome data mining.;30255805;Yes;n/a;2018;5;No;US;US;Mount Sinai Hospital;US
Agreement between primary care and hospital diagnosis of schizophrenia and bipolar disorder: A cross-sectional, observational study using record linkage.;30615653;Yes;n/a;2019;5;No;CA;CA;Multiple;CA
Complexity in disease management: A linked data analysis of multimorbidity in Aboriginal and non-Aboriginal patients hospitalised with atherothrombotic disease in Western Australia.;30106971;Yes;n/a;2018;9;No;AU;AU;Western Australian Data Linkage System;AU
The real-world effectiveness of sucroferric oxyhydroxide in European hemodialysis patients: a 1-year retrospective database analysis.;33287733;Yes;n/a;2020;4;No;ES;DE;Fresenius;FR, IT, PT, RU, ES
Association of Race/Ethnicity and Sex With Differences in Health Care Use and Treatment for Acne.;32022834;Yes;n/a;2020;12;No;US;US;Optum;US
The value of preoperative spirometry testing for predicting postoperative risk in upper abdominal and thoracic surgery assessed using big-data analysis.;32944327;Yes;n/a;2020;10;No;KR;KR;Asan Medical Center;KR
Prenatal, Obstetric and Perinatal Factors Associated With the Development of Childhood-Onset Type 2 Diabetes.;28583472;Yes;n/a;2018;4;No;CA;CA;Manitoba Centre for Health Policy;CA
Learning Health System for Breast Cancer: Pilot Project Experience.;31369338;Yes;n/a;2019;2;No;CA;CA;Juravinski Cancer Centre;CA
Treatment patterns and outcomes for patients with advanced melanoma in US oncology clinical practices.;30251550;Yes;n/a;2019;2;No;US;US;Flatiron Health;US
Individualised risk prediction model for new-onset, progression and regression of chronic kidney disease in a retrospective cohort of patients with type 2 diabetes under primary care in Hong Kong.;32641324;Yes;n/a;2020;4;No;CN;CN;New Territory West Cluster;CN
Evaluating Pediatric Sepsis Definitions Designed for Electronic Health Record Extraction and Multicenter Quality Improvement.;32931197;Yes;n/a;2020;1;No;US;US;Multiple;US
Cohort profile: the Nigerian HIV geriatric cohort study.;33243227;Yes;n/a;2020;1;No;NG;NG;Multiple;NG
Clinical Research Informatics: Contributions from 2017.;30157521;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2018;;;;;;
High Frequency of Extractable Nuclear Autoantibodies in Wheat-Related Disorders.;29977112;Yes;n/a;2018;11;No;US;US;Vibrant America Clinical Laboratory;US
Risk factors for having diabetic retinopathy at first screening in persons with type 1 diabetes diagnosed under 18 years of age.;33262478;Yes;n/a;2021;4;No;UK;UK;SAIL Databank;UK
Real-world progression, treatment, and survival outcomes during rapid adoption of immunotherapy for advanced non-small cell lung cancer.;31381142;Yes;n/a;2019;2;No;US;US;Flatiron Health;US
Character-Level Neural Language Modelling in the Clinical Domain.;32570351;No (excluded in title and abstract screening);No tabular data;2020;;;;;;
Exploring the health and service utilisation of general practice patients with a history of adverse childhood experiences (ACEs): an observational study using electronic health records.;32978186;Yes;n/a;2020;;No;UK;UK;Multiple;UK
Functional mobility trajectories of hospitalized older adults admitted to acute geriatric wards: A retrospective observational study in an English university hospital.;30779283;Yes;n/a;2019;;No;UK;UK;Addenbrooke’s Hospital;UK
Clinical and genetic associations with prostacyclin response in pulmonary arterial hypertension.;30142026;Yes;n/a;2018;9;No;US;US;Vanderbilt University Medical Center;US
Multifocal motor neuropathy in Austria: a nationwide survey of clinical features and response to treatment.;30259176;Yes;n/a;2018;6;No;AT;AT;Multiple;AT
USE OF ELECTRONIC HEALTH RECORDS TO CHARACTERIZE A RARE DISEASE IN THE U.S.: TREATMENT, COMORBIDITIES, AND FOLLOW-UP TRENDS AMONG PATIENTS WITH A CONFIRMED DIAGNOSIS OF ACROMEGALY.;29624099;Yes;n/a;2018;4;No;US;US;Multiple;US
Concordance of real-world versus conventional progression-free survival from a phase 3 trial of endocrine therapy as first-line treatment for metastatic breast cancer.;32315295;Yes;n/a;2020;2;No;US;US;Flatiron Health;US
Acute myocardial infarctions and stroke triggered by laboratory-confirmed respiratory infections in Denmark, 2010 to 2016.;32372757;Yes;n/a;2020;9;No;DK;DK;Multiple;DK
External validation of the electronic Frailty Index using the population of Wales within the Secure Anonymised Information Linkage Databank.;31566668;Yes;n/a;2019;18;No;UK;UK;SAIL Databank;UK
Retention in care among older adults living with HIV in western Kenya: A retrospective observational cohort study.;29590150;Yes;n/a;2018;1;No;KE;ZA;Multiple;KE
Assessing the National Prevalence of HIV Screening in the United States using Electronic Health Record Data.;31501734;Yes;n/a;2019;1;No;US;US;IBM;US
Effect of Public Deliberation on Patient Attitudes Regarding Consent and Data Use in a Learning Health Care System for Oncology.;31577472;No (excluded in title and abstract screening);Anonymous survey;2019;;;;;;
Naloxone reversal of clonidine toxicity: dose, dose, dose.;29544366;Yes;n/a;2018;;No;US;US;Vanderbilt University Medical Center;US
Repurposing of a Thromboxane Receptor Inhibitor Based on a Novel Role in Metastasis Identified by Phenome-Wide Association Study.;33033174;Yes;n/a;2020;2;No;US;US;Vanderbilt University Medical Center;US
Re-examination of Rule-Based Methods in Deidentification of Electronic Health Records: Algorithm Development and Validation.;32352384;No (excluded in title and abstract screening);No medical research (focus on anonymization);2020;;;;;;
Racial Differences in the Use of Aortic Valve Replacement for Treatment of Symptomatic Severe Aortic Valve Stenosis in the Transcatheter Aortic Valve Replacement Era.;32777969;Yes;n/a;2020;9;No;US;US;Optum;US
A deep learning system for differential diagnosis of skin diseases.;32424212;Yes;n/a;2020;12;No;US;US;Not precisely specified;US
A validated natural language processing algorithm for brain imaging phenotypes from radiology reports in UK electronic health records.;31500613;No (excluded in title and abstract screening);No tabular data;2019;;;;;;
Clinical Application of 3D-CISS MRI Sequences for Diagnosis and Surgical Planning of Spinal Arachnoid Diverticula and Adhesions in Dogs.;29534275;No (excluded in title and abstract screening);No tabular data;2018;;;;;;
Re-examining physician-scientist training through the prism of the discovery-invention cycle.;32089830;No (excluded in title and abstract screening);No medical research (no new insights with direct relevance to health);2019;;;;;;
Neonatal bacterial meningitis versus ventriculitis: a cohort-based overview of clinical characteristics, microbiology and imaging.;32621136;No (excluded in title and abstract screening);No tabular data;2020;;;;;;
The Danish Medical Birth Register.;29349587;No (excluded in title and abstract screening);No medical research (focus on data provision);2018;;;;;;
Analysis of disease comorbidity patterns in a large-scale China population.;31829182;Yes;n/a;2019;;No;CN;CN;China Academy of Chinese Medical Sciences;CN
Developing data-driven clinical pathways using electronic health records: The cases of total laparoscopic hysterectomy and rotator cuff tears.;31683142;Yes;n/a;2020;;No;KR;KR;Seoul National University Bundang Hospital;KR
Improving coding and primary care management for patients with chronic kidney disease: an observational controlled study in East London.;31160369;Yes;n/a;2019;14;No;UK;UK;Multiple;UK
Characteristics and Health Care Utilization of Different Segments of a Multiethnic Asian Population in Singapore.;31490539;Yes;n/a;2019;;No;SG;SG;Ministry of Health Singapore;SG
Demography and disorders of the French Bulldog population under primary veterinary care in the UK in 2013.;29750111;No (excluded in title and abstract screening);No medical research (no new insights with direct relevance to health);2018;;;;;;
Renin-Angiotensin-Aldosterone System Modulates Blood Pressure Response During Vascular Endothelial Growth Factor Receptor Inhibition.;32984850;Yes;n/a;2019;9;No;US;US;Vanderbilt University Medical Center;US
The development an artificial intelligence algorithm for early sepsis diagnosis in the intensive care unit.;32485555;Yes;n/a;2020;1;No;TW;TW;Taipei Medical University Hospital;TW
Chest Pain, Atherosclerotic Cardiovascular Disease Risk, and Cardiology Referral in Primary Care.;29756524;Yes;n/a;2018;9;No;US;US;Not precisely specified;US
Validation of diagnosis codes to identify side of colon in an electronic health record registry.;31426736;Yes;n/a;2019;2;No;US;US;Flatiron Health;US
Circumcision registry promotes precise research and fosters informed parental decisions.;30626392;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2019;;;;;;
Identification of Semantically Similar Sentences in Clinical Notes: Iterative Intermediate Training Using Multi-Task Learning.;33245284;No (excluded in title and abstract screening);No tabular data;2020;;;;;;
A retrospective analysis of treatment and retention outcomes of pregnant and/or parenting women with opioid use disorder.;30577894;Yes;n/a;2019;5;No;US;US;Not precisely specified;US
Prevalence of SARS-CoV-2 antibodies in a large nationwide sample of patients on dialysis in the USA: a cross-sectional study.;32987007;Yes;n/a;2020;22;Yes;US;US;Ascend Clinical;US
Impact of Primary Tracheoesophageal Puncture on Outcomes after Total Laryngectomy.;28809132;Yes;n/a;2018;10;No;US;US;Multiple;US
An Empirical Test of GRUs and Deep Contextualized Word Representations on De-Identification.;31437917;No (excluded in title and abstract screening);No medical research (focus on anonymization);2019;;;;;;
Concealment and discovery: The role of information security in biomedical data re-use.;30322372;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2018;;;;;;
Documenting or Operating: Where Is Time Spent in General Surgery Residency?;30522828;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2018;;;;;;
First-line immune checkpoint inhibitor use in cisplatin-eligible patients with advanced urothelial carcinoma: a secular trend analysis.;31840537;Yes;n/a;2020;2;No;US;US;Flatiron Health;US
