Title;Authors;PMID;Include;Reason for exclusion;Publishing year;Publishing month;Submission year;Submission month;Research data;Healthcare data;ICD-10 chapter;COVID-19 research;First author;Senior author;Data source;Data origin;Time-to-Publication
Hepatocellular carcinoma risk in patients with chronic hepatitis B receiving tenofovir- vs. entecavir-based regimens: Individual patient data meta-analysis.;Choi WM and Yip TC and Wong GL and Kim WR and Yee LJ and Brooks-Rooney C and Curteis T and Cant H and Chen CH and Chen CY and Huang YH and Jin YJ and Jun DW and Kim JW and Park NH and Peng CY and Shin HP and Shin JW and Yang YH and Lim YS;36572349;No (excluded before screening);Outside the search period;2023;3;2022;7;Yes;Yes;;;;;;;8.0
Algorithms to anonymize structured medical and healthcare data: A systematic review.;Sepas A and Bangash AH and Alraoui O and El Emam K and El-Hussuna A;36619476;No (excluded in title and abstract screening);No medical research (focus on anonymization);2022;;2022;7;No;Yes;;;;;;;
Issues and Solutions of Healthcare Data De-identification: the Case of South Korea.;Shin SY;29349950;No (excluded in title and abstract screening);No medical research (focus on anonymization);2018;1;2017;8;No;Yes;;;;;;;5.0
Improving Data Quality in Clinical Research Informatics Tools.;AbuHalimeh A;35574572;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2022;;2022;2;Yes;Yes;;;;;;;
deidentify.;Burckhardt P and Padman R;29854113;No (excluded before screening);Outside the search period;2017;;na;na;No;Yes;;;;;;;
Research using electronic health records: not all de-identified datasets are created equal.;Yogarajan V and Ragupathy R;31039984;No (excluded in title and abstract screening);No medical research (focus on anonymization);2019;4;na;na;No;Yes;;;;;;;
How Clinical Practice Research Datalink data are used to support pharmacovigilance.;Ghosh RE and Crellin E and Beatty S and Donegan K and Myles P and Williams R;31210923;No (excluded in title and abstract screening);No medical research (no new insights with direct relevance to health);2019;;2018;11;Yes;Yes;;;;;;;
First-line immune checkpoint inhibitor use in cisplatin-eligible patients with advanced urothelial carcinoma: a secular trend analysis.;Parikh RB and Feld EK and Galsky MD and Adamson BJ and Cohen AB and Baxi SS and Boursi SB and Christodouleas JP and Vaughn DJ and Meropol NJ and Mamtani R;31840537;Yes;;2020;1;na;na;No;Yes;2;No;US;US;Flatiron Health;US;
Data resource profile: the National Health Insurance Research Database (NHIRD).;Lin LY and Warren-Gash C and Smeeth L and Chen PC;30727703;No (excluded in title and abstract screening);No medical research (focus on data provision);2018;;2018;11;Yes;Yes;;;;;;;
Clinical Research Informatics: Contributions from 2017.;Daniel C and Kalra D;30157521;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2018;8;na;na;No;Yes;;;;;;;
Benchmarking Modern Named Entity Recognition Techniques for Free-text Health Record Deidentification.;Ahmed A and Abbasi A and Eickhoff C;34457124;No (excluded in title and abstract screening);No medical research (focus on anonymization);2021;;na;na;No;Yes;;;;;;;
Environmental Influences on Patient Presentations: Considerations for Research and Evaluation at Mass-Gathering Events.;Hutton A and Ranse J and Gray KL and Turris SA and Lund A and Munn MB;31495346;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2019;10;na;na;Yes;No;;;;;;;
Evaluation of repositories for sharing individual-participant data from clinical studies.;Banzi R and Canham S and Kuchinke W and Krleza-Jeric K and Demotes-Mainard J and Ohmann C;30876434;No (excluded in title and abstract screening);No medical research (focus on data provision);2019;3;2018;11;Yes;Yes;;;;;;;4.0
Development and Implementation of the Data Science Learning Platform for Research Physician.;Begic Fazlic L and Schacht M and Morgen M and Schmeink A and Lipp R and Martin L and Vollmer T and Winter S and Dartmann G;36325863;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2022;11;na;na;No;Yes;;;;;;;
Quantified electronic health record (EHR) use by academic surgeons.;Cox ML and Risoli T Jr and Peskoe SB and Turner DA and Migaly J;33483138;No (not retrieved);Not retrieved;2021;6;2020;9;No;Yes;;;;;;;9.0
Cerner real-world data (CRWD) - A de-identified multicenter electronic health records database.;Ehwerhemuepha L and Carlson K and Moog R and Bondurant B and Akridge C and Moreno T and Gasperino G and Feaster W;35434225;No (excluded in title and abstract screening);No medical research (focus on data provision);2022;6;2021;12;No;Yes;;;;;;;6.0
Customization scenarios for de-identification of clinical notes.;Hartman T and Howell MD and Dean J and Hoory S and Slyper R and Laish I and Gilon O and Vainstein D and Corrado G and Chou K and Po MJ and Williams J and Ellis S and Bee G and Hassidim A and Amira R and Beryozkin G and Szpektor I and Matias Y;32000770;No (excluded in title and abstract screening);No medical research (focus on anonymization);2020;1;2019;3;No;Yes;;;;;;;10.0
De-Identification of Radiomics Data Retaining Longitudinal Temporal Information.;Kundu S and Chakraborty S and Chatterjee S and Das S and Achari RB and Mukhopadhyay J and Das PP and Mallick I and Arunsingh M and Bhattacharyyaa T and Ray S;32240368;No (excluded in title and abstract screening);No medical research (focus on anonymization);2020;4;2019;11;No;Yes;;;;;;;5.0
Improving domain adaptation in de-identification of electronic health records through self-training.;Liao S and Kiros J and Chen J and Zhang Z and Chen T;34363664;No (excluded in title and abstract screening);No medical research (focus on anonymization);2021;9;2021;3;No;Yes;;;;;;;6.0
New EHR certification requirements and their association with duplicate tests and images.;Pylypchuk Y and Johnson C;35640013;Yes;;2022;7;2021;11;No;Yes;;No;US;US;FAIR Health;US;8.0
Assessment of Electronic Health Record Use Between US and Non-US Health Systems.;Holmgren AJ and Downing NL and Bates DW and Shanafelt TD and Milstein A and Sharp CD and Cutler DM and Huckman RS and Schulman KA;33315048;No (excluded in full-paper screening);"A: This is about usage of EHR systems by clinicans. Consider excluding?
Provided PDF is supplementary material only
B: Supplementary Material not available";2021;2;na;na;No;Yes;;?;?;?;?;?;
Research Goal-Driven Data Model and Harmonization for De-Identifying Patient Data in Radiomics.;Kundu S and Chakraborty S and Mukhopadhyay J and Das S and Chatterjee S and Basu Achari R and Mallick I and Pratim Das P and Arunsingh M and Bhattacharyya T and Ray S;34241789;No (excluded in title and abstract screening);No medical research (focus on anonymization);2021;8;2020;7;No;Yes;;;;;;;13.0
Achalasia Quality Indicator Adherence.;Romanoff E and Zhuo J and Huang AC and Amador D and Otaki F and Kamal AN and Kathpalia P and Leiman DA;36459295;No (excluded before screening);Outside the search period;2023;2;2021;12;No;Yes;11;No;US;US;Multiple;US;14.0
De-identification of Clinical Text via Bi-LSTM-CRF with Neural Language Models.;Tang B and Jiang D and Chen Q and Wang X and Yan J and Shen Y;32308882;No (excluded in title and abstract screening);No medical research (focus on anonymization);2019;;na;na;No;Yes;;;;;;;
A framework for de-identification of free-text data in electronic medical records enabling secondary use.;Mercorelli L and Nguyen H and Gartell N and Brookes M and Morris J and Tam CS;35546422;No (excluded in title and abstract screening);No medical research (focus on anonymization);2022;6;2021;11;No;Yes;;;;;;;7.0
Relationship between patient experience and hospital readmission: system-level survey with deterministic data linkage method.;Wong EL and Poon CM and Cheung AW and Chen FY and Yeoh EK;35864472;No (excluded in title and abstract screening);No medical research (no new insights with direct relevance to health);2022;7;2022;1;No;Yes;;;;;;;6.0
A deep learning system for differential diagnosis of skin diseases.;Liu Y and Jain A and Eng C and Way DH and Lee K and Bui P and Kanada K and de Oliveira Marinho G and Gallegos J and Gabriele S and Gupta V and Singh N and Natarajan V and Hofmann-Wellenhof R and Corrado GS and Peng LH and Webster DR and Ai D and Huang SJ and Liu Y and Dunn RC and Coz D;32424212;Yes;;2020;6;2019;9;No;Yes;12;No;US;US;Not precisely specified;US;9.0
Data sharing platforms for de-identified data from human clinical trials.;Huser V and Shmueli-Blumberg D;29676586;No (excluded in title and abstract screening);No medical research (focus on data provision);2018;8;na;na;Yes;No;;;;;;;
DI++: A deep learning system for patient condition identification in clinical notes.;Shi J and Gao X and Kinsman WC and Ha C and Gao GG and Chen Y;34998515;No (excluded in title and abstract screening);No tabular data;2022;1;2020;6;No;Yes;;;;;;;19.0
Technical Note: An embedding-based medical note de-identification approach with sparse annotation.;Zhou H and Ruan D;33340113;No (excluded in title and abstract screening);No medical research (focus on anonymization);2021;3;2020;8;No;Yes;;;;;;;7.0
Enabling qualitative research data sharing using a natural language processing pipeline for deidentification: moving beyond HIPAA Safe Harbor identifiers.;Gupta A and Lai A and Mozersky J and Ma X and Walsh H and DuBois JM;34435175;No (excluded in title and abstract screening);No medical research (focus on anonymization);2021;7;2021;5;Yes;No;;;;;;;2.0
Student perceptions of a teaching electronic medical record in Health Administration education.;Taylor H and Brumitt G and Harle CA and Johnston A and Williams K and Vest JR;36474597;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2022;;na;na;No;Yes;;;;;;;
Probabilistic record linkage of de-identified research datasets with discrepancies using diagnosis codes.;Hejblum BP and Weber GM and Liao KP and Palmer NP and Churchill S and Shadick NA and Szolovits P and Murphy SN and Kohane IS and Cai T;30620344;No (excluded in title and abstract screening);No medical research (focus on anonymization);2019;1;2018;1;Yes;Yes;;;;;;;12.0
Cost Analysis of Routine Vitrectomy Surgery.;Berkowitz ST and Sternberg P Jr and Patel S;33588067;No (not retrieved);Not retrieved;2021;6;2021;1;No;Yes;;;;;;;5.0
Data resource: Children receiving care and support and children in need, administrative records in Wales.;Lee A and Elliott M and Scourfield J and Bedston S and Broadhust K and Ford DV and Griffiths LJ;35719716;No (excluded in title and abstract screening);No medical research (focus on data provision);2022;;na;na;No;Yes;;;;;;;
Protected Health Information filter (Philter): accurately and securely de-identifying free-text clinical notes.;Norgeot B and Muenzen K and Peterson TA and Fan X and Glicksberg BS and Schenk G and Rutenberg E and Oskotsky B and Sirota M and Yazdany J and Schmajuk G and Ludwig D and Goldstein T and Butte AJ;32337372;No (excluded in title and abstract screening);No medical research (focus on anonymization);2020;;2019;5;No;Yes;;;;;;;
Assessing stroke severity using electronic health record data: a machine learning approach.;Kogan E and Twyman K and Heap J and Milentijevic D and Lin JH and Alberts M;31914991;No (excluded in title and abstract screening);No tabular data;2020;1;2019;8;No;Yes;;;;;;;5.0
De-identifying Socioeconomic Data at the Census Tract Level for Medical Research Through Constraint-based Clustering.;Liu Y and Conway D and Wan Z and Kantarcioglu M and Vorobeychik Y and Malin BA;35309009;No (excluded in title and abstract screening);No medical research (focus on anonymization);2021;;na;na;No;Yes;;;;;;;
The Serious Illness Population: Ascertainment via Electronic Health Record or Claims Data.;Kelley AS and Hanson LC and Ast K and Ciemins EL and Dunning SC and Meskow C and Ritchie CS;33933617;Yes;;2021;9;2021;2;No;Yes;;No;US;US;Optum;US;7.0
Quantitating and assessing interoperability between electronic health records.;Bernstam EV and Warner JL and Krauss JC and Ambinder E and Rubinstein WS and Komatsoulis G and Miller RS and Chen JL;35015861;Yes;;2022;4;2021;10;No;Yes;;No;US;US;CancerLinQ;US;6.0
Deriving household composition using population-scale electronic health record data-A reproducible methodology.;Johnson RD and Griffiths LJ and Hollinghurst JP and Akbari A and Lee A and Thompson DA and Lyons RA and Fry R;33780469;Yes;;2021;;2020;11;No;Yes;;No;GB;GB;SAIL Databank;GB;
[Artificial intelligence in neurocritical care].;Schweingruber N and Gerloff C;33491152;No (excluded before screening);not English;2021;2;na;na;No;Yes;;;;;;;
Leveraging text skeleton for de-identification of electronic medical records.;Zhao YS and Zhang KL and Ma HC and Li K;29589571;No (excluded in title and abstract screening);No medical research (focus on anonymization);2018;3;na;na;No;Yes;;;;;;;
Radiation Oncology: Future Vision for Quality Assurance and Data Management in Clinical Trials and Translational Science.;Ding L and Bradford C and Kuo IL and Fan Y and Ulin K and Khalifeh A and Yu S and Liu F and Saleeby J and Bushe H and Smith K and Bianciu C and LaRosa S and Prior F and Saltz J and Sharma A and Smyczynski M and Bishop-Jodoin M and Laurie F and Iandoli M and Moni J and Cicchetti MG and FitzGerald TJ;36033446;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2022;;na;na;Yes;No;;;;;;;
Meta-analysis of Individual Patient Data After Kissing Stent Treatment for Aortoiliac Occlusive Disease.;Groot Jebbink E and Holewijn S and Versluis M and Grimme F and Hinnen JW and Sixt S and Angle JF and Dorigo W and Reijnen MMPJ;30499352;Yes;;2019;2;na;na;Yes;Yes;9;No;NL;NL;Multiple;various;
E-Infrastructures and the divergent assetization of public health data: Expectations, uncertainties, and asymmetries.;Vezyridis P and Timmons S;33499771;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2021;8;na;na;No;Yes;;;;;;;
Using Temporal Data Mining on Patient Data for Clinical Decision Making in the Care of the Sick Newborn.;Tan S and Unnikrishnan KP;35790097;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2022;5;na;na;No;Yes;;;;;;;
Integrating real world data and clinical trial results using survival data reconstruction and marginal moment-balancing weights.;Getz K and Mamtani R and Hubbard RA;34756156;Yes;;2022;1;na;na;Yes;Yes;2;No;US;US;Flatiron Health;US;
Data Pseudonymization in a Range That Does Not Affect Data Quality: Correlation with the Degree of Participation of Clinicians.;Shin SY and Kim HS;34783216;No (excluded in title and abstract screening);No medical research (focus on anonymization);2021;11;na;na;No;Yes;;;;;;;
Clinical Decision Support for Hyperbilirubinemia Risk Assessment in the Electronic Health Record.;Petersen JD and Lozovatsky M and Markovic D and Duncan R and Zheng S and Shamsian A and Kagele S and Ross MK;32058105;No (excluded in title and abstract screening);No medical research (no new insights with direct relevance to health);2020;8;2019;9;No;Yes;;;;;;;11.0
Standardized Health data and Research Exchange (SHaRE): promoting a learning health system.;Davis S and Ehwerhemuepha L and Feaster W and Hackman J and Morizono H and Kanakasabai S and Mosa ASM and Parker J and Iwamoto G and Patel N and Gasparino G and Kane N and Hoffman MA;35047761;No (excluded in title and abstract screening);No medical research (focus on data provision);2022;4;2021;8;No;Yes;;;;;;;8.0
Protected Health Information Recognition of Unstructured Code-Mixed Electronic Health Records in Taiwan.;Lee YQ and Wang BH and Su CH and Chen PT and Lin WQ and Wu CS and Dai HJ;35673092;No (excluded in title and abstract screening);No medical research (focus on anonymization);2022;6;na;na;No;Yes;;;;;;;
Compilation of longitudinal gut microbiome, serum metabolome, and clinical data in acute myeloid leukemia.;Rashidi A and Ebadi M and Rehman TU and Elhusseini H and Halaweish H and Kaiser T and Holtan SG and Khoruts A and Weisdorf DJ and Staley C;35918343;No (excluded in title and abstract screening);No medical research (focus on data provision);2022;8;2022;2;No;Yes;;;;;;;6.0
Natural Language Processing of Clinical Notes on Chronic Diseases: Systematic Review.;Sheikhalishahi S and Miotto R and Dudley JT and Lavelli A and Rinaldi F and Osmani V;31066697;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2019;4;2018;9;No;Yes;;;;;;;7.0
Adverse cardiovascular events and mortality in men during testosterone treatment: an individual patient and aggregate data meta-analysis.;Hudson J and Cruickshank M and Quinton R and Aucott L and Aceves-Martins M and Gillies K and Bhasin S and Snyder PJ and Ellenberg SS and Grossmann M and Travison TG and Gianatti EJ and van der Schouw YT and Emmelot-Vonk MH and Giltay EJ and Hackett G and Ramachandran S and Svartberg J and Hildreth KL and Groti Antonic K and Brock GB and Tenover JL and Tan HM and Kong CHC and Tan WS and Marks LS and Ross RJ and Schwartz RS and Manson P and Roberts S and Andersen MS and Magnussen LV and Hernández R and Oliver N and Wu F and Dhillo WS and Bhattacharya S and Brazzelli M and Jayasena CN;35711614;Yes;;2022;6;na;na;Yes;No;9;No;GB;GB;Multiple;various;
Ensemble-based Methods to Improve De-identification of Electronic Health Record Narratives.;Kim Y and Heider P and Meystre S;30815108;No (excluded in title and abstract screening);No medical research (focus on anonymization);2018;;na;na;No;Yes;;;;;;;
The first Chinese National Union of Real-world Gynaecological Oncology Research and Patient Management Platform: A retrospective study.;Zeng S and Chi J and Liu J and Jiao X and Liu X and Yu Y and Li R and Huo Y and Ma G and Zhao Y and Wang L and Zhou Q and Zou D and Cheng X and Li Q and Wang J and Yao S and Zhao W and Xia B and Chen Y and Fan J and Wang W and Hong L and Guo R and Liu Z and Gao Y and Li J and Zhang B and Yu J and Hu T and Zhang W and Shan W and Peng Z and Li M and Xie X and Ma D and Gao Q;36485066;Yes;;2022;11;na;na;No;Yes;15;No;CN;CN;National Union of Real-world Gynaecological Oncology Research and Patient Management Platform;CN;
Building trust in real-world data: lessons from INSIGHT, the UK's health data research hub for eye health and oculomics.;Denniston AK and Kale AU and Lee WH and Mollan SP and Keane PA;35916569;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2022;9;na;na;No;Yes;;;;;;;
Evaluating real-world treatment patterns and outcomes of mantle cell lymphoma.;Narkhede M and Goyal G and Shea L and Mehta A and Giri S;35561314;Yes;;2022;7;2022;2;Yes;Yes;2;No;US;US;Flatiron Health;US;5.0
Design and Development of a Medical Image Databank for Assisting Studies in Radiomics.;Kundu S and Chakraborty S and Mukhopadhyay J and Das S and Chatterjee S and Achari RB and Mallick I and Das PP and Arunsingh M and Bhattacharyyaa T and Ray S;35166968;No (excluded in title and abstract screening);No tabular data;2022;6;2021;1;No;Yes;;;;;;;17.0
Comparing Electronic Health Record Domains' Utility to Identify Transgender Patients.;Dubin S and Cook T and Liss A and Doty G and Moore K and Greene R and Radix A and Janssen A;36644028;Yes;;2022;2;na;na;No;Yes;;No;US;US;Not precisely specified;US;
Radiology and Enterprise Medical Imaging Extensions (REMIX).;Erdal BS and Prevedello LM and Qian S and Demirer M and Little K and Ryu J and O'Donnell T and White RD;28840365;No (excluded in title and abstract screening);No medical research (focus on data provision);2018;2;na;na;No;Yes;;;;;;;
Development of a distributed international patient data registry for hairy cell leukemia.;Andritsos LA and Anghelina M and Neal J and Blachly JS and Mathur P and Lele O and Dearden C and Iyengar S and Cross M and Zent CS and Rogers KA and Epperla N and Lozanski G and Oakes CC and Kraut E and Ruppert AS and Zhao Q and Bhat SA and Forconi F and Banerji V and Handunnetti S and Tam CS and Seymour JF and Else M and Kreitman RJ and Saven A and Call T and Parikh SA and Ravandi F and Johnston JB and Tiacci E and Troussard X and Tallman MS and Dietrich S and Tadmor T and Gozzetti A and Zinzani PL and Robak T and Quest G and Demeter J and Rai K and Fernandez SA and Grever M;36070610;No (excluded in title and abstract screening);No medical research (focus on data provision);2022;12;na;na;No;Yes;;;;;;;
Evidence Synthesis to Accelerate and Improve the Evaluation of Therapies for Metastatic Hormone-sensitive Prostate Cancer.;Tierney JF and Vale CL and Parelukar WR and Rydzewska L and Halabi S;30713089;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2019;3;2018;11;Yes;No;;;;;;;4.0
CONSIDER Statement: Consolidated Recommendations for Sharing Individual Participant Data from Human Clinical Studies.;Mayer CS and Williams N and Huser V;34457159;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2021;;na;na;Yes;No;;;;;;;
Association Between Business Travel, Health-Related Behaviors, and Adiposity.;Bergquist SH and Marcus M and Meng Q and Fei T and Robichaux C and Roberts DL and Moore RH;34091579;No (excluded in full-paper screening);No access;2021;10;na;na;No;Yes;;;;;;;
Guideline-directed device therapies in heart failure: A clinical practice-based analysis using electronic health record data.;Curtis AB and Manrodt C and Jacobsen LD and Soderlund D and Fonarow GC;38559281;Yes;;2022;4;2022;2;No;Yes;9;No;US;US;Optum;US;2.0
Predicting asthma-related crisis events using routine electronic healthcare data: a quantitative database analysis study.;Noble M and Burden A and Stirling S and Clark AB and Musgrave S and Alsallakh MA and Price D and Davies GA and Pinnock H and Pond M and Sheikh A and Sims EJ and Walker S and Wilson AM;34133316;Yes;;2021;12;2020;11;Yes;Yes;10;No;GB;GB;SAIL Databank, Clinical Practice Research Datalink;GB;13.0
Identifying Determinants of Disparities in Lung Cancer Survival Rates from Electronic Health Record Data.;Cui W and Finkelstein J;35612188;Yes;;2022;5;na;na;No;Yes;2;No;US;US;Mount Sinai Health System;US;
A scoping review of preprocessing methods for unstructured text data to assess data quality.;Nesca M and Katz A and Leung CK and Lix LM;37670734;No (excluded in title and abstract screening);No tabular data;2022;;na;na;Yes;Yes;;;;;;;
Verification of De-Identification Techniques for Personal Information Using Tree-Based Methods with Shapley Values.;Lee J and Jeong J and Jung S and Moon J and Rho S;35207676;No (excluded in title and abstract screening);No medical research (focus on anonymization);2022;1;2021;12;No;Yes;;;;;;;1.0
Building a best-in-class automated de-identification tool for electronic health records through ensemble learning.;Murugadoss K and Rajasekharan A and Malin B and Agarwal V and Bade S and Anderson JR and Ross JL and Faubion WA Jr and Halamka JD and Soundararajan V and Ardhanari S;34179842;No (excluded in title and abstract screening);No medical research (focus on anonymization);2021;6;2021;1;No;Yes;;;;;;;5.0
Careful: An administrative child welfare and electronic health records linked dataset.;Beal SJ and Nause K and Ammerman RT and Hall ES and Mara CA and Greiner MV;35966947;No (excluded in title and abstract screening);No medical research (focus on data provision);2022;10;2022;4;No;Yes;;;;;;;6.0
Evaluation of an automated Presidio anonymisation model for unstructured radiation oncology electronic medical records in an Australian setting.;Kotevski DP and Smee RI and Field M and Nemes YN and Broadley K and Vajdic CM;36272315;No (excluded in title and abstract screening);No medical research (focus on anonymization);2022;12;2022;5;No;Yes;;;;;;;7.0
DDIWAS: High-throughput electronic health record-based screening of drug-drug interactions.;Wu P and Nelson SD and Zhao J and Stone CA Jr and Feng Q and Chen Q and Larson EA and Li B and Cox NJ and Stein CM and Phillips EJ and Roden DM and Denny JC and Wei WQ;33712848;Yes;;2021;7;2020;11;No;Yes;;No;US;US;Vanderbilt University Medical Center;US;8.0
Clinical Data Prediction Model to Identify Patients With Early-Stage Pancreatic Cancer.;Chen Q and Cherry DR and Nalawade V and Qiao EM and Kumar A and Lowy AM and Simpson DR and Murphy JD;33739856;Yes;;2021;3;na;na;No;Yes;2;No;US;US;Optum;US;
Sampling strategy, characteristics and representativeness of the InGef research database.;Ludwig M and Enders D and Basedow F and Walker J and Jacob J;35378455;No (excluded in title and abstract screening);No medical research (focus on data provision);2022;5;2021;10;Yes;Yes;;;;;;;7.0
Aligning EHR Data for Pediatric Leukemia With Standard Protocol Therapy.;Wood NM and Davis S and Lewing K and Noel-MacDonnell J and Glynn EF and Caragea D and Hoffman MA;33656914;Yes;;2021;3;na;na;No;Yes;2;No;US;US;Cerner Corporation;US;
Imaging and clinical data archive for head and neck squamous cell carcinoma patients treated with radiotherapy.;Grossberg AJ and Mohamed ASR and Elhalawani H and Bennett WC and Smith KE and Nolan TS and Williams B and Chamchod S and Heukelom J and Kantor ME and Browne T and Hutcheson KA and Gunn GB and Garden AS and Morrison WH and Frank SJ and Rosenthal DI and Freymann JB and Fuller CD;30179230;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2018;9;2018;1;No;Yes;;;;;;;8.0
Using Large Aggregated De-Identified Electronic Health Record Data to Determine the Prevalence of Common Chronic Diseases in Pediatric Patients Who Visited Primary Care Clinics.;Ullah F and Kaelber DC;34022428;Yes;;2021;8;2020;11;No;Yes;;No;US;US;IBM;US;9.0
Centralized Clinical Trial Imaging Data Management: Practical Guidance from a Comprehensive Cancer Center's Experience.;Lee B and Abbott A and Davidson S and Syrkin L and LeFever G and Van den Abbeele AD;30564956;No (excluded in title and abstract screening);No tabular data;2019;10;na;na;Yes;No;;;;;;;
Reviewing a Decade of Research Into Suicide and Related Behaviour Using the South London and Maudsley NHS Foundation Trust Clinical Record Interactive Search (CRIS) System.;Bittar A and Velupillai S and Downs J and Sedgwick R and Dutta R;33329090;No (excluded in title and abstract screening);No tabular data;2020;;2020;4;No;Yes;;;;;;;
Identifying developmental stuttering and associated comorbidities in electronic health records and creating a phenome risk classifier.;Pruett DG and Shaw DM and Chen HH and Petty LE and Polikowsky HG and Kraft SJ and Jones RM and Below JE;33894541;Yes;;2021;6;2020;9;No;Yes;5;No;US;US;Vanderbilt University Medical Center;US;9.0
Data Resource: population level family justice administrative data with opportunities for data linkage.;Johnson RD and Ford DV and Broadhurst K and Cusworth L and Jones KH and Akbari A and Bedston S and Alrouh B and Doebler S and Lee A and Smart J and Thompson S and Trinder L and Griffiths LJ;34233348;Yes;;2020;;na;na;No;Yes;;No;GB;GB;SAIL Databank;GB;
Incorporating a location-based socioeconomic index into a de-identified i2b2 clinical data warehouse.;Gardner BJ and Pedersen JG and Campbell ME and McClay JC;30715327;No (excluded in title and abstract screening);No medical research (focus on anonymization);2019;4;2018;1;Yes;Yes;;;;;;;15.0
Dental Extractions under General Anesthesia: New Insights from Process Mining.;Fox F and Whelton H and Johnson OA and Aggarwal VR;35403470;No (excluded before screening);Outside the search period;2023;7;na;na;No;Yes;11;No;GB;GB;Health Service Executive (South);IE;
