Title;Authors;PMID;Include;Reason for exclusion;Publishing year;ICD-10 chapter;COVID-19 research;First author;Senior author;Data source;Data origin;Data origin (World Bank income group)
One-Year Historical Cohort Study of the Phosphate Binder Sucroferric Oxyhydroxide in Patients on Maintenance Hemodialysis.;Kendrick J and Parameswaran V and Ficociello LH and Ofsthun NJ and Davis S and Mullon C and Kossmann RJ and Kalantar-Zadeh K;30679076;Yes;n/a;2019;4;No;US;US;Fresenius;US;High-income economies
Predicting parkinsonism side-effects of antipsychotic polypharmacy prescribed in secondary mental healthcare.;Kadra G and Spiros A and Shetty H and Iqbal E and Hayes RD and Stewart R and Geerts H;30232932;Yes;n/a;2018;5;No;UK;UK;South London and Maudsley NHS Foundation Trust;UK;High-income economies
Knowing our patients: a cross-sectional study of adult patients attending an urban Aboriginal and Torres Strait Islander primary healthcare service.;Askew DA and Jennings WJ and Hayman NE and Schluter PJ and Spurling GK;30566850;No (not retrieved);Not retrieved;2019;;;;;;;
Toward Understanding the Value of Missing Social Determinants of Health Data in Care Transition Planning.;Feldman SS and Davlyatov G and Hall AG;32851616;Yes;n/a;2020;;No;US;US;University of Alabama Hospital;US;High-income economies
Shining the light on eating disorders, incidence, prognosis and profiling of patients in primary and secondary care: national data linkage study.;Demmler JC and Brophy ST and Marchant A and John A and Tan JOA;31256764;Yes;n/a;2020;5;No;UK;UK;SAIL Databank;UK;High-income economies
ORBDA: An openEHR benchmark dataset for performance assessment of electronic health record servers.;Teodoro D and Sundvall E and João Junior M and Ruch P and Miranda Freire S;29293556;No (excluded in title and abstract screening);No medical research (focus on data provision);2018;;;;;;;
Risk of cardiovascular events and death associated with initiation of SGLT2 inhibitors compared with DPP-4 inhibitors: an analysis from the CVD-REAL 2 multinational cohort study.;Kohsaka S and Lam CSP and Kim DJ and Cavender MA and Norhammar A and Jørgensen ME and Birkeland KI and Holl RW and Franch-Nadal J and Tangri N and Shaw JE and Ilomäki J and Karasik A and Goh SY and Chiang CE and Thuresson M and Chen H and Wittbrodt E and Bodegård J and Surmont F and Fenici P and Kosiborod M;32559476;Yes;n/a;2020;4;No;JP;AU;Multiple;AU, CA, DK, DE, IL, JP, NO, SG, KR, ES, SE, CN, US;
A Demographic Profile of Mothers and Their Children Who Are Victims of Family and Domestic Violence: Using Linked Police and Hospital Admissions Data.;Orr C and Fisher CM and Glauert R and Preen DB and O'Donnell M and Ed D;32370589;Yes;n/a;2022;21;No;AU;AU;Western Australian Data Linkage System;AU;High-income economies
Customization scenarios for de-identification of clinical notes.;Hartman T and Howell MD and Dean J and Hoory S and Slyper R and Laish I and Gilon O and Vainstein D and Corrado G and Chou K and Po MJ and Williams J and Ellis S and Bee G and Hassidim A and Amira R and Beryozkin G and Szpektor I and Matias Y;32000770;No (excluded in title and abstract screening);No medical research (focus on anonymization);2020;;;;;;;
Validation of a machine learning algorithm for early severe sepsis prediction: a retrospective study predicting severe sepsis up to 48 h in advance using a diverse dataset from 461 US hospitals.;Burdick H and Pino E and Gabel-Comeau D and Gu C and Roberts J and Le S and Slote J and Saber N and Pellegrini E and Green-Saxena A and Hoffman J and Das R;33109167;Yes;n/a;2020;1;No;US;US;Cabell Huntington Hospital;US;High-income economies
Effectiveness of herpes zoster vaccination in an older United Kingdom population.;Walker JL and Andrews NJ and Amirthalingam G and Forbes H and Langan SM and Thomas SL;29555217;Yes;n/a;2018;1;No;UK;UK;Clinical Practice Research Datalink;UK;High-income economies
Identifying Predictors of Suicide in Severe Mental Illness: A Feasibility Study of a Clinical Prediction Rule (Oxford Mental Illness and Suicide Tool or OxMIS).;Senior M and Burghart M and Yu R and Kormilitzin A and Liu Q and Vaci N and Nevado-Holgado A and Pandit S and Zlodre J and Fazel S;32351413;No (excluded in title and abstract screening);No tabular data;2020;;;;;;;
Environmental Influences on Patient Presentations: Considerations for Research and Evaluation at Mass-Gathering Events.;Hutton A and Ranse J and Gray KL and Turris SA and Lund A and Munn MB;31495346;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2019;;;;;;;
Efficient learning from big data for cancer risk modeling: A case study with melanoma.;Richter AN and Khoshgoftaar TM;31112896;Yes;n/a;2019;2;No;US;US;Modernizing Medicine;US;High-income economies
Evaluating the Impact of Oncology Care Model Reporting Requirements on Biomarker Testing and Treatment.;Castellanos EH and Orlando A and Ma X and Parikh RB and O'Connell G and Meropol NJ and Hamrick J and Adamson BJS;32496874;Yes;n/a;2020;2;No;US;US;Flatiron Health;US;High-income economies
Safety and effectiveness of apixaban in comparison to warfarin in patients with nonvalvular atrial fibrillation: a propensity-matched analysis from Japanese administrative claims data.;Kohsaka S and Katada J and Saito K and Terayama Y;29772946;Yes;n/a;2018;9;No;JP;JP;Multiple;JP;High-income economies
Trends over time in Escherichia coli bloodstream infections, urinary tract infections, and antibiotic susceptibilities in Oxfordshire, UK, 1998-2016: a study of electronic health records.;Vihta KD and Stoesser N and Llewelyn MJ and Quan TP and Davies T and Fawcett NJ and Dunn L and Jeffery K and Butler CC and Hayward G and Andersson M and Morgan M and Oakley S and Mason A and Hopkins S and Wyllie DH and Crook DW and Wilcox MH and Johnson AP and Peto TEA and Walker AS;30126643;Yes;n/a;2018;1;No;UK;UK;Oxford University Hospitals NHS Foundation Trust;UK;High-income economies
Machine learning prediction of incidence of Alzheimer's disease using large-scale administrative health data.;Park JH and Cho HE and Kim JH and Wall MM and Stern Y and Lim H and Yoo S and Kim HS and Cha J;32258428;Yes;n/a;2020;5;No;US;US;Korean National Health Insurance Service;KR;High-income economies
Association of Programmed Cell Death Ligand 1 Expression Status With Receipt of Immune Checkpoint Inhibitors in Patients With Advanced Non-Small Cell Lung Cancer.;Leapman MS and Presley CJ and Zhu W and Soulos PR and Adelson KB and Miksad RA and Boffa DJ and Gross CP;32511721;Yes;n/a;2020;2;No;US;US;Flatiron Health;US;High-income economies
Prospective study feasibility: Screening of antenatal total abnormal pulmonary venous return.;Levêque C and Paret L and Cochet T and Joinau-Zoulovits F and Chantalat E and Vidal F and Vayssière C and David N;29240234;No (excluded in title and abstract screening);No tabular data;2018;;;;;;;
Primary therapy of Graves' disease and cardiovascular morbidity and mortality: a linked-record cohort study.;Okosieme OE and Taylor PN and Evans C and Thayer D and Chai A and Khan I and Draman MS and Tennant B and Geen J and Sayers A and French R and Lazarus JH and Premawardhana LD and Dayan CM;30827829;Yes;n/a;2019;4;No;UK;UK;SAIL Databank;UK;High-income economies
Demographic and clinical factors associated with different antidepressant treatments: a retrospective cohort study design in a UK psychiatric healthcare setting.;Fernandes AC and Chandran D and Khondoker M and Dewey M and Shetty H and Dutta R and Stewart R;30185574;Yes;n/a;2018;5;No;UK;UK;South London and Maudsley NHS Foundation Trust;UK;High-income economies
Machine Learning and Feature Selection Applied to SEER Data to Reliably Assess Thyroid Cancer Prognosis.;Mourad M and Moubayed S and Dezube A and Mourad Y and Park K and Torreblanca-Zanca A and Torrecilla JS and Cancilla JC and Wang J;32198433;Yes;n/a;2020;2;No;US;US;National Cancer Institute;US;High-income economies
De-Identification of Radiomics Data Retaining Longitudinal Temporal Information.;Kundu S and Chakraborty S and Chatterjee S and Das S and Achari RB and Mukhopadhyay J and Das PP and Mallick I and Arunsingh M and Bhattacharyyaa T and Ray S;32240368;No (excluded in title and abstract screening);No medical research (focus on anonymization);2020;;;;;;;
Interplay between traumatic brain injury and intimate partner violence: data driven analysis utilizing electronic health records.;Liu LY and Bush WS and Koyutürk M and Karakurt G;33287806;Yes;n/a;2020;19;No;US;US;IBM;US;High-income economies
Overview of the First Natural Language Processing Challenge for Extracting Medication, Indication, and Adverse Drug Events from Electronic Health Record Notes (MADE 1.0).;Jagannatha A and Liu F and Liu W and Yu H;30649735;No (excluded in title and abstract screening);No tabular data;2019;;;;;;;
Sexually transmissible infections among transgender men and women attending Australian sexual health clinics.;Callander D and Cook T and Read P and Hellard ME and Fairley CK and Kaldor JM and Vlahakis E and Pollack A and Bourne C and Russell DB and Guy RJ and Donovan B;31468530;Yes;n/a;2019;1;No;AU;AU;Multiple;AU;High-income economies
Physician Incentives and Sex/Gender Differences in Depression Care: An Interrupted Time Series Analysis.;Puyat JH and Kazanjian A;32219194;Yes;n/a;2020;5;No;CA;CA;Multiple;CA;High-income economies
Real-world Evidence of Diagnostic Testing and Treatment Patterns in US Patients With Breast Cancer With Implications for Treatment Biomarkers From RNA Sequencing Data.;Fernandes LE and Epstein CG and Bobe AM and Bell JSK and Stumpe MC and Salazar ME and Salahudeen AA and Pe Benito RA and McCarter C and Leibowitz BD and Kase M and Igartua C and Huether R and Hafez A and Beaubier N and Axelson MD and Pegram MD and Sammons SL and O'Shaughnessy JA and Palmer GA;33446413;No (not retrieved);Not retrieved;2021;;;;;;;
Development of CancerLinQ, a Health Information Learning Platform From Multiple Electronic Health Record Systems to Support Improved Quality of Care.;Potter D and Brothers R and Kolacevski A and Koskimaki JE and McNutt A and Miller RS and Nagda J and Nair A and Rubinstein WS and Stewart AK and Trieb IJ and Komatsoulis GA;33104389;No (excluded in title and abstract screening);No medical research (focus on data provision);2020;;;;;;;
Reviewing a Decade of Research Into Suicide and Related Behaviour Using the South London and Maudsley NHS Foundation Trust Clinical Record Interactive Search (CRIS) System.;Bittar A and Velupillai S and Downs J and Sedgwick R and Dutta R;33329090;No (excluded in title and abstract screening);No tabular data;2020;;;;;;;
The World Health Organization's hearing-impairment grading system: an evaluation for unaided communication in age-related hearing loss.;Humes LE;30318941;Yes;n/a;2019;8;No;US;;Multiple;US, AU;
Differences in Management of Coronary Artery Disease in Patients With Medicare Advantage vs Traditional Fee-for-Service Medicare Among Cardiology Practices.;Figueroa JF and Blumenthal DM and Feyman Y and Frakt AB and Turchin A and Doros G and Gao Q and Song Y and Joynt Maddox KE;30785590;Yes;n/a;2019;9;No;US;US;American College of Cardiology Foundation;US;High-income economies
Primary tumor location and survival in colorectal cancer: A retrospective cohort study.;Aggarwal H and Sheffield KM and Li L and Lenis D and Sorg R and Barzi A and Miksad R;32368319;Yes;n/a;2020;2;No;US;US;Flatiron Health;US;High-income economies
Deep learning and feature based medication classifications from EEG in a large clinical data set.;Nahmias DO and Civillico EF and Kontson KL;32848165;Yes;n/a;2020;;No;US;US;Temple University Hospital;US;High-income economies
Bidirectional associations between COVID-19 and psychiatric disorder: retrospective cohort studies of 62 354 COVID-19 cases in the USA.;Taquet M and Luciano S and Geddes JR and Harrison PJ;33181098;Yes;n/a;2021;5;Yes;UK;UK;TriNetX;US;High-income economies
Regulatory-accepted drug development tools are needed to accelerate innovative CNS disease treatments.;Arnerić SP and Kern VD and Stephenson DT;29410157;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2018;;;;;;;
Improving the phenotype risk score as a scalable approach to identifying patients with Mendelian disease.;Bastarache L and Hughey JJ and Goldstein JA and Bastraache JA and Das S and Zaki NC and Zeng C and Tang LA and Roden DM and Denny JC;31609419;Yes;n/a;2019;;No;US;US;Vanderbilt University Medical Center;US;High-income economies
Feasibility of real-time capture of routine clinical data in the electronic health record: a hospital-based, observational service-evaluation study.;Bodagh N and Archbold RA and Weerackody R and Hawking MKD and Barnes MR and Lee AM and Janjuha S and Gutteridge C and Robson J and Timmis A;29523565;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2018;;;;;;;
Real-World Assessment of Weight Change in People with HIV-1 After Initiating Integrase Strand Transfer Inhibitors or Protease Inhibitors.;Chen YW and Hardy H and Pericone CD and Chow W;32766375;Yes;n/a;2020;1;No;US;US;Optum;US;High-income economies
Prevalence of Ophthalmologic Diagnoses in Children With Autism Spectrum Disorder Using the Optum Dataset: APopulation-Based Study.;Chang MY and Doppee D and Yu F and Perez C and Coleman AL and Pineles SL;32896499;Yes;n/a;2021;7;No;US;US;Optum;US;High-income economies
Prior diagnoses and medications as risk factors for COVID-19 in a Los Angeles Health System.;Chang TS and Ding Y and Freund MK and Johnson R and Schwarz T and Yabu JM and Hazlett C and Chiang JN and Wulf A and Geschwind DH and Butte MJ and Pasaniuc B;32637977;No (excluded before screening);preprint;2020;;;;;;;
Real-world survival of patients with advanced BRAF V600 mutated melanoma treated with front-line BRAF/MEK inhibitors, anti-PD-1 antibodies, or nivolumab/ipilimumab.;Moser JC and Chen D and Hu-Lieskovan S and Grossmann KF and Patel S and Colonna SV and Ying J and Hyngstrom JR;31677253;Yes;n/a;2019;2;No;US;US;Flatiron Health;US;High-income economies
Blood pressure control and adverse outcomes of COVID-19 infection in patients with concomitant hypertension in Wuhan, China.;Ran J and Song Y and Zhuang Z and Han L and Zhao S and Cao P and Geng Y and Xu L and Qin J and He D and Wu F and Yang L;32855527;Yes;n/a;2020;22;Yes;HK;HK;Huoshenshan Hospital;CN;Upper-middle-income economies
Clinical features in primary care electronic records before diagnosis of ankylosing spondylitis: a nested case-control study.;Bashir MT and Iversen L and Burton C;32375655;Yes;n/a;2020;13;No;UK;UK;University of Aberdeen;UK;High-income economies
A Tale of 2 Constituencies: Exploring Patient and Clinician Perspectives in the Age of Big Data.;Goytia CN and Kastenbaum I and Shelley D and Horowitz CR and Kaushal R;30074954;No (excluded in title and abstract screening);No medical research (focus on anonymization);2018;;;;;;;
Prevalence of suspected COVID-19 infection in patients from ethnic minority populations: a cross-sectional study in primary care.;Hull SA and Williams C and Ashworth M and Carvalho C and Boomla K;32895242;Yes;n/a;2020;22;Yes;UK;UK;Multiple;UK;High-income economies
Recommendations and Extraction of Clinical Variables of Pediatric Multiple Sclerosis Using Common Data Elements.;Newland P and Newland JM and Hendricks-Ferguson VL and Smith JM and Oliver BJ;29652736;Yes;n/a;2018;6;No;US;US;St. Louis Children Hospital;US;High-income economies
Metabolic Effects of Androgen-associated Body Mass in Klinefelter Syndrome.;Ehrhart MD and Guthrie IR and Qeadan F and Burge MR;30828410;Yes;n/a;2018;17;No;US;US;Cerner Corporation;US;High-income economies
Long term extension of a randomised controlled trial of probiotics using electronic health records.;Davies G and Jordan S and Brooks CJ and Thayer D and Storey M and Morgan G and Allen S and Garaiova I and Plummer S and Gravenor M;29769554;Yes;n/a;2018;;No;UK;UK;SAIL Databank;UK;High-income economies
Dementia in People from Ethnic Minority Backgrounds: Disability, Functioning, and Pharmacotherapy at the Time of Diagnosis.;Tsamakis K and Gadelrab R and Wilson M and Bonnici-Mallia AM and Hussain L and Perera G and Rizos E and Das-Munshi J and Stewart R and Mueller C;32758391;Yes;n/a;2021;5;No;UK;UK;South London and Maudsley NHS Foundation Trust;UK;High-income economies
Electronic Health Record Reminders for Chlamydia Screening in an American Indian Population.;Hughes MS and Apostolou A and Reilley B and Leston J and McCollum J and Iralu J;33301693;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2021;;;;;;;
Phenome-wide association study identifies marked increased in burden of comorbidities in African Americans with systemic lupus erythematosus.;Barnado A and Carroll RJ and Casey C and Wheless L and Denny JC and Crofford LJ;29636090;Yes;n/a;2018;13;No;US;US;Vanderbilt University Medical Center;US;High-income economies
Acute kidney injury: a clinical issue in hospitalized patients with heart failure with mid-range ejection fraction.;Lala RI and Lungeanu D and Puschita M and Pop-Moldovan A and Darabantiu D;30411719;Yes;n/a;2018;14;No;RO;RO;Arad Emergency Clinical County Hospital;RO;High-income economies
Developing and implementing national health identifiers in resource limited countries: why, what, who, when and how?;Beck EJ and Shields JM and Tanna G and Henning G and de Vega I and Andrews G and Boucher P and Benting L and Garcia-Calleja JM and Cutler J and Ewing W and Kijsanayotin B and Kujinga T and Mahy M and Makofane K and Marsh K and Nacheeva C and Rangana N and Vega MFR and Sabin K and Varetska O and Macharia Wanyee S and Watiti S and Williams B and Zhao J and Nunez C and Ghys P and Low-Beer D;29502484;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2018;;;;;;;
Ethnic differences in the prevalence of frailty in the United Kingdom assessed using the electronic Frailty Index.;Pradhananga S and Regmi K and Razzaq N and Ettefaghian A and Dey AB and Hewson D;31942531;Yes;n/a;2019;18;No;UK;UK;AT Medics;UK;High-income economies
Toward microelimination of hepatitis C and HIV coinfection in NHS Tayside, Scotland: Real-world outcomes.;Byrne C and Robinson E and Rae N and Dillon JF;33033752;Yes;n/a;2020;1;No;UK;UK;NHS Tayside ;UK;High-income economies
Comparative effectiveness of second-line ipilimumab vs. nivolumab in combination with ipilimumab in patients with advanced melanoma who received frontline anti-PD-1 antibodies.;Baron K and Moser JC and Patel S and Grossmann KF and Colonna SV and Hyngstrom JR;32423325;Yes;n/a;2021;2;No;US;US;Flatiron Health;US;High-income economies
Systematically Prioritizing Candidates in Genome-Based Drug Repurposing.;Challa AP and Lavieri RR and Lewis JT and Zaleski NM and Shirey-Rice JK and Harris PA and Aronoff DM and Pulley JM;31769998;Yes;n/a;2019;;No;US;US;Vanderbilt University Medical Center;US;High-income economies
Validation of body mass index (BMI)-related ICD-9-CM and ICD-10-CM administrative diagnosis codes recorded in US claims data.;Ammann EM and Kalsekar I and Yoo A and Johnston SS;30003617;Yes;n/a;2018;;No;US;US;Optum;US;High-income economies
Assessment of obesity prevalence and validity of obesity diagnoses coded in claims data for selected surgical populations: A retrospective, observational study.;Ammann EM and Kalsekar I and Yoo A and Scamuffa R and Hsiao CW and Stokes AC and Morton JM and Johnston SS;31335698;Yes;n/a;2019;4;No;US;US;Optum;US;High-income economies
Body mass index and insulin use as identifiers of high-cost patients with type 2 diabetes: A retrospective analysis of electronic health records linked to insurance claims data.;Johnston SS and Ammann EM and Kashyap SR and Stokes A and Hsiao CC and Daskiran M and Scamuffa R;30768824;Yes;n/a;2019;4;No;US;US;Optum;US;High-income economies
Unbiased Phenome-Wide Association Studies of Red Cell Distribution Width Identifies Key Associations with Pulmonary Hypertension.;Thayer TE and Huang S and Levinson RT and Farber-Eger E and Assad TR and Huston JH and Mosley JD and Wells QS and Brittain EL;30608875;Yes;n/a;2019;9;No;US;US;Vanderbilt University Medical Center;US;High-income economies
Establishment and 12-month progress of the New Zealand Motor Neurone Disease Registry.;Walker KL and Rodrigues MJ and Watson B and Reilly C and Scotter EL and Brunton H and Turnbull J and Roxburgh RH;30473407;No (excluded in title and abstract screening);No medical research (no new insights with direct relevance to health);2019;;;;;;;
Data resource profile: the National Health Insurance Research Database (NHIRD).;Lin LY and Warren-Gash C and Smeeth L and Chen PC;30727703;No (excluded in title and abstract screening);No medical research (focus on data provision);2018;;;;;;;
Innovative Study Designs Optimizing Clinical Pharmacology Research in Infants and Children.;Balevic SJ and Cohen-Wolkowiez M;30248192;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2018;;;;;;;
The Connected Intensive Care Unit Patient: Exploratory Analyses and Cohort Discovery From a Critical Care Telemedicine Database.;Essay P and Shahin TB and Balkan B and Mosier J and Subbian V;30679148;No (excluded in title and abstract screening);No medical research (focus on data provision);2019;;;;;;;
Environmental temperature and case fatality of patients with Ebola virus disease in Sierra Leone and Liberia, 2014-2015: a retrospective cohort study.;Peters JL and Cho DK and Aluisio AR and Kennedy SB and Massaquoi MBF and Sahr F and Perera SM and Levine AC;30307686;Yes;n/a;2019;1;No;US;US;Multiple;SL, LR;
Studying the Clinical Data of COVID Positive Patients Admitted to a Tertiary Care Academic Hospital.;Arrieta J and Galwankar S and Lattanzio N and Ray D and Agrawal A;33013092;Yes;n/a;2020;22;Yes;US;IN;Sarasota Memorial Hospital;US;High-income economies
Pan-European Data Harmonization for Biobanks in ADOPT BBMRI-ERIC.;Mate S and Kampf M and Rödle W and Kraus S and Proynova R and Silander K and Ebert L and Lablans M and Schüttler C and Knell C and Eklund N and Hummel M and Holub P and Prokosch HU;31509880;No (excluded in title and abstract screening);No tabular data;2019;;;;;;;
Is it time to use real-world data from primary care in Alzheimer's disease?;Ponjoan A and Garre-Olmo J and Blanch J and Fages E and Alves-Cabratosa L and Martí-Lluch R and Comas-Cufí M and Parramon D and Garcia-Gil M and Ramos R;32423489;Yes;n/a;2020;5;No;ES;ES;SIDIAP;ES;High-income economies
History of cervical insufficiency increases the risk of pelvic organ prolapse and stress urinary incontinence in parous women.;Sheyn D and Addae-Konaedu KL and Bauer AM and Dawodu KI and Hackney DN and El-Nashar SA;29169582;Yes;n/a;2018;14;No;US;US;IBM;US;High-income economies
Primary care EMR and administrative data linkage in Alberta, Canada: describing the suitability for hypertension surveillance.;Garies S and Youngson E and Soos B and Forst B and Duerksen K and Manca D and McBrien K and Drummond N and Quan H and Williamson T;32830109;No (excluded in title and abstract screening);No medical research (focus on anonymization);2020;;;;;;;
CE: Original Research: An Investigation into the Safety of Oral Intake During Labor.;Shea-Lewis A and Eckardt P and Stapleton D;29424752;Yes;n/a;2018;15;No;US;US;Not precisely specified;US;High-income economies
Community-based outreach associated with increased health utilization among Navajo individuals living with diabetes: a matched cohort study.;Franz C and Atwood S and Orav EJ and Curley C and Brown C and Trevisi L and Nelson AK and Begay MG and Shin S;32450874;Yes;n/a;2020;4;No;US;US;Multiple;US;High-income economies
Pediatric solid organ injury - frequency of abdominal imaging is determined by the treating department.;Zimmermann P and Schmidt T and Nelson J and Gosemann JH and Bassler S and Stahmeyer JT and Hirsch FW and Lacher M and Zeidler J;33157961;Yes;n/a;2020;19;No;DE;DE;Multiple;DE;High-income economies
Pregnancy Outcomes after Endometrial Ablation in a Multi-institutional Cohort.;Bauer AM and Hackney DN and El-Nashar S and Sheyn D;29528466;Yes;n/a;2018;15;No;US;US;IBM;US;High-income economies
Comorbidities in pediatric alopecia areata.;Conic RZ and Tamashunas NL and Damiani G and Fabbrocini G and Cantelli M and Bergfeld WF;32531131;Yes;n/a;2020;12;No;US;US;IBM;US;High-income economies
Data-driven method to enhance craniofacial and oral phenotype vocabularies.;Mishra R and Burke A and Gitman B and Verma P and Engelstad M and Haendel MA and Alevizos I and Gahl WA and Collins MT and Lee JS and Sincan M;31668172;No (excluded in title and abstract screening);No tabular data;2019;;;;;;;
Using blockchain to log genome dataset access: efficient storage and query.;Gürsoy G and Bjornson R and Green ME and Gerstein M;32693796;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2020;;;;;;;
Assessing the impact of specialist home visiting upon maltreatment in England: a feasibility study of data linkage from a public health trial to routine health and social care data.;Lugg-Widger F and Cannings-John R and Angel L and Moody G and Segrott J and Kenkre J and Robling M;29988307;No (excluded in title and abstract screening);No medical research (focus on anonymization);2018;;;;;;;
Cardiovascular medication changes over 5 years in a national data linkage study: implications for risk prediction models.;Mehta S and Jackson R and Wells S and Harrison J and Exeter DJ and Kerr AJ;29391835;Yes;n/a;2018;9;No;NZ;NZ;New Zeeland Ministry of Health;NZ;High-income economies
MAV-clic: management, analysis, and visualization of clinical data.;Ahmed Z and Kim M and Liang BT;31984341;No (excluded in title and abstract screening);No medical research (focus on data provision);2019;;;;;;;
Pharmacogenetics to Predict Adverse Events Associated With Antidepressants.;Rossow KM and Aka IT and Maxwell-Horn AC and Roden DM and Van Driest SL;33234666;Yes;n/a;2020;5;No;US;US;Vanderbilt University Medical Center;US;High-income economies
Recruitment of patients with Chronic Obstructive Pulmonary Disease (COPD) from the Clinical Practice Research Datalink (CPRD) for research.;Quint JK and Moore E and Lewis A and Hashmi M and Sultana K and Wright M and Smeeth L and Chatzidiakou L and Jones R and Beevers S and Kolozali S and Kelly F and Barratt B;29921879;Yes;n/a;2018;10;No;UK;UK;Clinical Practice Research Datalink;UK;High-income economies
Willingness to Participate in a National Precision Medicine Cohort: Attitudes of Chronic Kidney Disease Patients at a Cleveland Public Hospital.;Cooke Bailey JN and Crawford DC and Goldenberg A and Slaven A and Pencak J and Schachere M and Bush WS and Sedor JR and O'Toole JF;29949895;No (excluded in title and abstract screening);No medical research (focus on data provision);2018;;;;;;;
The assessment of data quality issues for process mining in healthcare using Medical Information Mart for Intensive Care III, a freely available e-health record database.;Kurniati AP and Rojas E and Hogg D and Hall G and Johnson OA;30488750;No (excluded in title and abstract screening);No medical research (focus on data provision);2019;;;;;;;
A Social Determinant of Health May Modify Genetic Associations for Blood Pressure: Evidence From a SNP by Education Interaction in an African American Population.;Hollister BM and Farber-Eger E and Aldrich MC and Crawford DC;31134134;Yes;n/a;2019;9;No;US;US;Vanderbilt University Medical Center;US;High-income economies
Risk prediction using natural language processing of electronic mental health records in an inpatient forensic psychiatry setting.;Le DV and Montgomery J and Kirkby KC and Scanlan J;30118855;Yes;n/a;2018;5;No;AU;AU;Wilfred Lopes Centre;AU;High-income economies
Large retrospective analysis on frailty assessment in primary care: electronic Frailty Index versus frailty coding.;Millares-Martin P;31039123;Yes;n/a;2019;18;No;UK;;NHS Leeds;UK;High-income economies
Cancer Patient Perspectives on Sharing of Medical Records and Mobile Device Data for Research Purposes.;Franklin EF and Nichols HM and House L and Buzaglo J and Thiboldeaux K;33457553;No (excluded in title and abstract screening);Anonymous survey;2020;;;;;;;
